,"bioguide","first","first_last","icpsr","last","opensecrets","term_count","term_end","term_start","type","cycle"
433,"C001049","Wm.","Wm. Lacy Clay",20147,"Clay","N00012460",8,"2017-01-03","2015-01-06","rep",2014
434,"C001049","Wm.","Wm. Lacy Clay",20147,"Clay","N00012460",9,"2019-01-03","2017-01-03","rep",2016
435,"C001049","Wm.","Wm. Lacy Clay",20147,"Clay","N00012460",10,"2021-01-03","2019-01-03","rep",2018
439,"C001061","Emanuel","Emanuel Cleaver",20517,"Cleaver","N00026790",4,"2013-01-03","2011-01-05","rep",2010
440,"C001061","Emanuel","Emanuel Cleaver",20517,"Cleaver","N00026790",5,"2015-01-03","2013-01-03","rep",2012
441,"C001061","Emanuel","Emanuel Cleaver",20517,"Cleaver","N00026790",6,"2017-01-03","2015-01-06","rep",2014
442,"C001061","Emanuel","Emanuel Cleaver",20517,"Cleaver","N00026790",7,"2019-01-03","2017-01-03","rep",2016
443,"C001061","Emanuel","Emanuel Cleaver",20517,"Cleaver","N00026790",8,"2021-01-03","2019-01-03","rep",2018
453,"C000537","James","James E. Clyburn",39301,"Clyburn","N00002408",10,"2013-01-03","2011-01-05","rep",2010
454,"C000537","James","James E. Clyburn",39301,"Clyburn","N00002408",11,"2015-01-03","2013-01-03","rep",2012
455,"C000537","James","James E. Clyburn",39301,"Clyburn","N00002408",12,"2017-01-03","2015-01-06","rep",2014
456,"C000537","James","James E. Clyburn",39301,"Clyburn","N00002408",13,"2019-01-03","2017-01-03","rep",2016
457,"C000537","James","James E. Clyburn",39301,"Clyburn","N00002408",14,"2021-01-03","2019-01-03","rep",2018
460,"C001068","Steve","Steve Cohen",20748,"Cohen","N00003225",3,"2013-01-03","2011-01-05","rep",2010
461,"C001068","Steve","Steve Cohen",20748,"Cohen","N00003225",4,"2015-01-03","2013-01-03","rep",2012
462,"C001068","Steve","Steve Cohen",20748,"Cohen","N00003225",5,"2017-01-03","2015-01-06","rep",2014
463,"C001068","Steve","Steve Cohen",20748,"Cohen","N00003225",6,"2019-01-03","2017-01-03","rep",2016
464,"C001068","Steve","Steve Cohen",20748,"Cohen","N00003225",7,"2021-01-03","2019-01-03","rep",2018
469,"C001053","Tom","Tom Cole",20344,"Cole","N00025726",5,"2013-01-03","2011-01-05","rep",2010
470,"C001053","Tom","Tom Cole",20344,"Cole","N00025726",6,"2015-01-03","2013-01-03","rep",2012
471,"C001053","Tom","Tom Cole",20344,"Cole","N00025726",7,"2017-01-03","2015-01-06","rep",2014
472,"C001053","Tom","Tom Cole",20344,"Cole","N00025726",8,"2019-01-03","2017-01-03","rep",2016
473,"C001053","Tom","Tom Cole",20344,"Cole","N00025726",9,"2021-01-03","2019-01-03","rep",2018
477,"C001062","K.","K. Michael Conaway",20531,"Conaway","N00026041",4,"2013-01-03","2011-01-05","rep",2010
478,"C001062","K.","K. Michael Conaway",20531,"Conaway","N00026041",5,"2015-01-03","2013-01-03","rep",2012
479,"C001062","K.","K. Michael Conaway",20531,"Conaway","N00026041",6,"2017-01-03","2015-01-06","rep",2014
480,"C001062","K.","K. Michael Conaway",20531,"Conaway","N00026041",7,"2019-01-03","2017-01-03","rep",2016
481,"C001062","K.","K. Michael Conaway",20531,"Conaway","N00026041",8,"2021-01-03","2019-01-03","rep",2018
483,"C001078","Gerald","Gerald E. Connolly",20952,"Connolly","N00029891",2,"2013-01-03","2011-01-05","rep",2010
484,"C001078","Gerald","Gerald E. Connolly",20952,"Connolly","N00029891",3,"2015-01-03","2013-01-03","rep",2012
485,"C001078","Gerald","Gerald E. Connolly",20952,"Connolly","N00029891",4,"2017-01-03","2015-01-06","rep",2014
486,"C001078","Gerald","Gerald E. Connolly",20952,"Connolly","N00029891",5,"2019-01-03","2017-01-03","rep",2016
